City ID,City,Latitude,Longitude,Max Temperature (F),Humidity (%),Clouds (%),Wind Speed (mph),Country,DT,Date
3424607,tasiilaq,65.6145,-37.6368,19.56,83.0,100.0,9.4,GL,1644344043,1970-01-20 00:45:44.043
3408368,acarau,-2.8856,-40.12,86.36,64.0,44.0,17.31,BR,1644344256,1970-01-20 00:45:44.256
3832899,viedma,-40.8135,-62.9967,91.02,20.0,93.0,9.64,AR,1644344257,1970-01-20 00:45:44.257
3369157,cape town,-33.9258,18.4232,72.27,69.0,0.0,14.97,ZA,1644344257,1970-01-20 00:45:44.257
4030556,rikitea,-23.1203,-134.9692,78.13,73.0,58.0,10.92,PF,1644344258,1970-01-20 00:45:44.258
