City ID,City,Latitude,Longitude,Max Temperature (F),Humidity (%),Clouds (%),Wind Speed (mph),Country,DT,Date
4726521,san patricio,28.017,-97.5169,73.49,29.0,0.0,5.44,US,1644447553,2022-02-09 22:59:13
2510852,socuellamos,39.2858,-2.7921,45.37,67.0,1.0,8.23,ES,1644447553,2022-02-09 22:59:13
3946820,barranca,-10.75,-77.7667,71.62,73.0,68.0,7.9,PE,1644447554,2022-02-09 22:59:14
1275619,bilgi,16.35,75.6167,69.8,47.0,2.0,3.71,IN,1644447554,2022-02-09 22:59:14
2377457,nouadhibou,20.931,-17.0347,73.38,40.0,0.0,10.36,MR,1644447313,2022-02-09 22:55:13
2138555,poum,-20.2333,164.0167,81.28,87.0,93.0,29.08,NC,1644447555,2022-02-09 22:59:15
3355672,luderitz,-26.6481,15.1594,74.26,50.0,17.0,16.84,NA,1644447555,2022-02-09 22:59:15
2017155,saskylakh,71.9167,114.0833,-5.28,95.0,68.0,9.95,RU,1644447351,2022-02-09 22:55:51
5880054,barrow,71.2906,-156.7887,-26.43,95.0,57.0,11.52,US,1644447555,2022-02-09 22:59:15
105298,jizan,17.3333,42.6667,76.14,73.0,12.0,3.24,SA,1644447557,2022-02-09 22:59:17
101312,turayf,31.6725,38.6637,46.65,87.0,0.0,9.22,SA,1644447557,2022-02-09 22:59:17
935215,saint-philippe,-21.3585,55.7679,72.99,80.0,94.0,3.6,RE,1644447557,2022-02-09 22:59:17
1822207,sisophon,13.5859,102.9737,78.37,74.0,53.0,3.42,KH,1644447558,2022-02-09 22:59:18
4192800,eatonton,33.3268,-83.3885,59.99,56.0,0.0,4.72,US,1644447558,2022-02-09 22:59:18
2092164,lorengau,-2.0226,147.2712,83.07,78.0,58.0,4.56,PG,1644447559,2022-02-09 22:59:19
4020109,atuona,-9.8,-139.0333,78.64,77.0,20.0,17.63,PF,1644447559,2022-02-09 22:59:19
5905393,bonavista,48.6499,-53.1147,36.12,91.0,99.0,15.46,CA,1644447559,2022-02-09 22:59:19
5836898,rock springs,41.5875,-109.2029,35.85,56.0,63.0,22.21,US,1644447560,2022-02-09 22:59:20
3855065,general roca,-39.0333,-67.5833,97.2,13.0,0.0,14.16,AR,1644447560,2022-02-09 22:59:20
286621,salalah,17.0151,54.0924,66.42,31.0,0.0,9.48,OM,1644447560,2022-02-09 22:59:20
3155422,gol,60.7014,8.9457,34.79,73.0,41.0,16.67,NO,1644447561,2022-02-09 22:59:21
5855927,hilo,19.7297,-155.09,78.24,83.0,37.0,1.99,US,1644447442,2022-02-09 22:57:22
3622716,nicoya,10.1483,-85.452,89.15,51.0,55.0,6.76,CR,1644447561,2022-02-09 22:59:21
92004,rawah,34.4816,41.9093,57.63,44.0,40.0,9.17,IQ,1644447562,2022-02-09 22:59:22
1006984,east london,-33.0153,27.9116,68.61,77.0,0.0,4.52,ZA,1644447562,2022-02-09 22:59:22
140097,borazjan,29.2666,51.2159,57.33,49.0,0.0,1.61,IR,1644447562,2022-02-09 22:59:22
3401148,cururupu,-1.8283,-44.8683,74.37,95.0,87.0,3.09,BR,1644447484,2022-02-09 22:58:04
3491161,bull savanna,17.8868,-77.5902,75.04,77.0,23.0,2.73,JM,1644447563,2022-02-09 22:59:23
1142263,farah,32.5,62.5,44.04,37.0,0.0,2.17,AF,1644447563,2022-02-09 22:59:23
5866583,kodiak,57.79,-152.4072,24.6,54.0,100.0,11.59,US,1644447564,2022-02-09 22:59:24
1259385,port blair,11.6667,92.75,78.84,78.0,20.0,8.05,IN,1644447564,2022-02-09 22:59:24
2450849,sokolo,14.7328,-6.1219,75.92,10.0,0.0,13.31,ML,1644447564,2022-02-09 22:59:24
