City ID,City,Latitude,Longitude,Max Temperature (F),Humidity (%),Clouds (%),Wind Speed (mph),Country,DT,Date
934322,mahebourg,-20.4081,57.7,77.29,83.0,40.0,3.44,MU,1644345762,2022-02-08 18:42:42
527321,mezen,65.8522,44.24,17.65,93.0,100.0,10.31,RU,1644345762,2022-02-08 18:42:42
1488903,turukhansk,65.8167,87.9833,-15.45,91.0,100.0,4.03,RU,1644345763,2022-02-08 18:42:43
7601762,bairiki,1.3292,172.9752,80.6,83.0,40.0,6.91,KI,1644345763,2022-02-08 18:42:43
1636806,majene,-3.5403,118.9707,77.56,87.0,100.0,4.59,ID,1644345763,2022-02-08 18:42:43
3466165,cidreira,-30.1811,-50.2056,74.98,65.0,49.0,14.14,BR,1644345764,2022-02-08 18:42:44
2034651,suileng,47.25,127.0833,3.54,100.0,100.0,6.91,CN,1644345764,2022-02-08 18:42:44
933995,souillac,-20.5167,57.5167,77.38,83.0,40.0,3.44,MU,1644345764,2022-02-08 18:42:44
2194098,ahipara,-35.1667,173.1667,73.58,94.0,94.0,7.09,NZ,1644345765,2022-02-08 18:42:45
1015776,bredasdorp,-34.5322,20.0403,69.12,73.0,1.0,8.05,ZA,1644345765,2022-02-08 18:42:45
5847486,kailua,21.4022,-157.7394,77.65,69.0,20.0,6.91,US,1644345765,2022-02-08 18:42:45
3386931,tamandare,-8.7597,-35.1047,83.48,65.0,0.0,11.14,BR,1644345766,2022-02-08 18:42:46
2112309,katsuura,35.1333,140.3,42.91,84.0,85.0,10.04,JP,1644345766,2022-02-08 18:42:46
2510075,utiel,39.5667,-1.2,47.64,76.0,0.0,4.81,ES,1644345767,2022-02-08 18:42:47
2777972,grieskirchen,48.2333,13.8333,45.72,74.0,97.0,11.05,AT,1644345767,2022-02-08 18:42:47
924206,phalombe,-15.8064,35.6507,68.04,87.0,8.0,2.04,MW,1644345767,2022-02-08 18:42:47
286621,salalah,17.0151,54.0924,75.29,14.0,0.0,14.97,OM,1644345768,2022-02-08 18:42:48
2729907,longyearbyen,78.2186,15.6401,17.44,67.0,75.0,8.05,SJ,1644345700,2022-02-08 18:41:40
2738381,lata,40.1629,-8.3327,63.01,58.0,0.0,4.41,PT,1644345768,2022-02-08 18:42:48
53372,odweyne,9.4092,45.064,68.36,42.0,36.0,7.92,SO,1644345769,2022-02-08 18:42:49
3424607,tasiilaq,65.6145,-37.6368,19.56,81.0,100.0,8.46,GL,1644345769,2022-02-08 18:42:49
3831208,qaanaaq,77.484,-69.3632,-11.78,93.0,100.0,4.74,GL,1644345770,2022-02-08 18:42:50
1633419,padang,-0.9492,100.3543,75.25,81.0,100.0,5.57,ID,1644345770,2022-02-08 18:42:50
1510377,belyy yar,53.6039,91.3903,-4.11,84.0,72.0,0.0,RU,1644345770,2022-02-08 18:42:50
4031637,lavrentiya,65.5833,-171.0,-26.52,97.0,37.0,12.66,RU,1644345771,2022-02-08 18:42:51
4034551,faanui,-16.4833,-151.75,81.48,78.0,15.0,20.29,PF,1644345771,2022-02-08 18:42:51
2122090,pevek,69.7008,170.3133,-32.08,100.0,50.0,5.37,RU,1644345771,2022-02-08 18:42:51
2208248,kaitangata,-46.2817,169.8464,54.34,95.0,100.0,5.91,NZ,1644345772,2022-02-08 18:42:52
962367,richards bay,-28.783,32.0377,71.31,88.0,1.0,2.37,ZA,1644345772,2022-02-08 18:42:52
5895424,bay roberts,47.5999,-53.2648,32.05,74.0,100.0,3.0,CA,1644345773,2022-02-08 18:42:53
2155415,new norfolk,-42.7826,147.0587,54.91,72.0,59.0,1.72,AU,1644345773,2022-02-08 18:42:53
3374166,tarrafal,15.2833,-23.7667,77.79,77.0,0.0,13.62,CV,1644345773,2022-02-08 18:42:53
292672,sharjah,25.3573,55.4033,69.78,56.0,40.0,6.91,AE,1644345774,2022-02-08 18:42:54
964432,port alfred,-33.5906,26.891,74.1,88.0,4.0,3.29,ZA,1644345774,2022-02-08 18:42:54
107304,buraydah,26.326,43.975,61.25,29.0,0.0,9.06,SA,1644345775,2022-02-08 18:42:55
2063042,port hedland,-20.3167,118.5667,78.85,94.0,26.0,5.75,AU,1644345775,2022-02-08 18:42:55
3372964,lagoa,39.05,-27.9833,59.54,71.0,95.0,6.02,PT,1644345776,2022-02-08 18:42:56
1337619,ugoofaaru,5.6667,73.0,82.42,64.0,86.0,12.95,MV,1644345776,2022-02-08 18:42:56
877747,mtwara,-10.2667,40.1833,79.39,85.0,100.0,9.28,TZ,1644345776,2022-02-08 18:42:56
6111862,port hardy,50.6996,-127.4199,44.76,93.0,100.0,13.8,CA,1644345736,2022-02-08 18:42:16
5557293,sitka,57.0531,-135.33,44.49,81.0,100.0,13.8,US,1644345777,2022-02-08 18:42:57
596664,nemencine,54.85,25.4833,34.32,98.0,100.0,13.76,LT,1644345777,2022-02-08 18:42:57
3893629,coquimbo,-29.9533,-71.3436,68.31,73.0,39.0,7.56,CL,1644345778,2022-02-08 18:42:58
1855612,nara,34.6851,135.8049,36.97,62.0,100.0,1.77,JP,1644345778,2022-02-08 18:42:58
2985947,porto-vecchio,41.591,9.2795,47.73,87.0,0.0,4.61,FR,1644345779,2022-02-08 18:42:59
2012646,zarubino,42.63,131.0922,22.59,66.0,0.0,8.66,RU,1644345779,2022-02-08 18:42:59
1633034,liku,-0.7275,119.8922,74.46,96.0,100.0,2.01,ID,1644345779,2022-02-08 18:42:59
535639,letka,59.6011,49.4232,14.29,95.0,90.0,7.72,RU,1644345780,2022-02-08 18:43:00
1643078,indramayu,-6.3264,108.32,78.51,84.0,100.0,8.79,ID,1644345780,2022-02-08 18:43:00
1621313,ambulu,-8.345,113.6058,75.38,91.0,61.0,3.53,ID,1644345781,2022-02-08 18:43:01
3902377,trinidad,-14.8333,-64.9,89.58,51.0,75.0,6.91,BO,1644345781,2022-02-08 18:43:01
5961417,gimli,50.6336,-96.9907,36.43,87.0,100.0,10.36,CA,1644345781,2022-02-08 18:43:01
1692364,puro,12.4841,123.3827,76.51,80.0,63.0,10.6,PH,1644345782,2022-02-08 18:43:02
5919850,chapais,49.7834,-74.8492,20.98,87.0,100.0,7.14,CA,1644345782,2022-02-08 18:43:02
3361934,saldanha,-33.0117,17.9442,68.05,93.0,15.0,10.8,ZA,1644345783,2022-02-08 18:43:03
5983720,iqaluit,63.7506,-68.5145,-0.31,77.0,100.0,8.05,CA,1644345783,2022-02-08 18:43:03
1007311,durban,-29.8579,31.0292,77.02,83.0,1.0,1.01,ZA,1644345518,2022-02-08 18:38:38
5733351,jackson,42.4165,-122.8345,57.15,59.0,0.0,0.0,US,1644345784,2022-02-08 18:43:04
2129868,iwanai,42.9744,140.5089,25.72,78.0,100.0,9.06,JP,1644345784,2022-02-08 18:43:04
2669047,timra,62.487,17.3257,31.68,100.0,0.0,0.0,SE,1644345785,2022-02-08 18:43:05
4787534,sterling,39.0062,-77.4286,49.33,44.0,20.0,13.8,US,1644345678,2022-02-08 18:41:18
3412093,vestmannaeyjar,63.4427,-20.2734,31.19,100.0,75.0,14.97,IS,1644345785,2022-02-08 18:43:05
3466980,caravelas,-17.7125,-39.2481,83.86,61.0,99.0,9.24,BR,1644345786,2022-02-08 18:43:06
2173911,broken hill,-31.95,141.4333,67.71,83.0,75.0,4.61,AU,1644345786,2022-02-08 18:43:06
6180550,whitehorse,60.7161,-135.0538,27.37,86.0,75.0,18.41,CA,1644345786,2022-02-08 18:43:06
3430443,necochea,-38.5473,-58.7368,81.03,44.0,0.0,7.02,AR,1644345787,2022-02-08 18:43:07
519062,novoanninskiy,50.5287,42.6747,33.57,94.0,100.0,16.31,RU,1644345788,2022-02-08 18:43:08
2206894,hokitika,-42.7167,170.9667,66.43,91.0,100.0,2.3,NZ,1644345789,2022-02-08 18:43:09
3449304,sao desiderio,-12.3633,-44.9733,81.68,70.0,100.0,2.06,BR,1644345789,2022-02-08 18:43:09
4231997,avera,33.194,-82.5271,51.71,42.0,100.0,6.42,US,1644345790,2022-02-08 18:43:10
1061605,manakara,-22.1333,48.0167,78.64,91.0,100.0,12.5,MG,1644345790,2022-02-08 18:43:10
3404558,cabedelo,-6.9811,-34.8339,86.67,66.0,2.0,12.64,BR,1644345498,2022-02-08 18:38:18
3471451,arraial do cabo,-22.9661,-42.0278,73.36,94.0,75.0,10.36,BR,1644345791,2022-02-08 18:43:11
2108502,honiara,-9.4333,159.95,78.06,90.0,100.0,6.26,SB,1644345791,2022-02-08 18:43:11
3893726,constitucion,-35.3333,-72.4167,74.26,54.0,13.0,18.81,CL,1644345792,2022-02-08 18:43:12
3356832,henties bay,-22.116,14.2845,71.85,81.0,16.0,4.92,NA,1644345792,2022-02-08 18:43:12
3450909,rondonopolis,-16.4708,-54.6356,83.68,69.0,80.0,0.89,BR,1644345712,2022-02-08 18:41:52
686090,asau,46.4333,26.4,29.32,89.0,9.0,5.01,RO,1644345793,2022-02-08 18:43:13
1849892,tottori,35.5,134.2333,39.25,92.0,100.0,8.08,JP,1644345555,2022-02-08 18:39:15
3385670,urucara,-2.5364,-57.76,77.94,91.0,97.0,3.11,BR,1644345793,2022-02-08 18:43:13
5847411,kahului,20.8947,-156.47,75.85,73.0,20.0,11.01,US,1644345794,2022-02-08 18:43:14
3405051,borba,-4.3878,-59.5939,85.69,74.0,96.0,1.19,BR,1644345794,2022-02-08 18:43:14
5546220,saint george,37.1041,-113.5841,62.35,33.0,0.0,0.0,US,1644345795,2022-02-08 18:43:15
3035768,avallon,47.4833,3.9,41.5,89.0,31.0,2.93,FR,1644345621,2022-02-08 18:40:21
5905393,bonavista,48.6499,-53.1147,33.12,76.0,100.0,12.57,CA,1644345795,2022-02-08 18:43:15
6078372,moose factory,51.2585,-80.6094,17.6,67.0,0.0,4.61,CA,1644345796,2022-02-08 18:43:16
5870133,nome,64.5011,-165.4064,1.47,46.0,100.0,24.16,US,1644345796,2022-02-08 18:43:16
902620,mwinilunga,-11.7358,24.4293,63.57,95.0,100.0,3.96,ZM,1644345796,2022-02-08 18:43:16
80509,bardiyah,31.7561,25.0865,54.82,59.0,100.0,23.11,LY,1644345797,2022-02-08 18:43:17
3408269,afua,-0.1567,-50.3867,83.17,74.0,96.0,7.02,BR,1644345797,2022-02-08 18:43:17
3652764,puerto ayora,-0.7393,-90.3518,80.56,69.0,62.0,10.71,EC,1644345798,2022-02-08 18:43:18
2629833,husavik,66.0449,-17.3389,28.31,93.0,100.0,24.14,IS,1644345798,2022-02-08 18:43:18
3945985,camana,-16.6228,-72.7111,74.89,70.0,94.0,9.57,PE,1644345798,2022-02-08 18:43:18
1503153,klyuchi,52.2667,79.1667,10.36,97.0,93.0,4.34,RU,1644345799,2022-02-08 18:43:19
2245170,podor,16.6527,-14.9587,96.75,14.0,0.0,2.3,MR,1644345799,2022-02-08 18:43:19
103630,najran,17.4924,44.1277,59.65,32.0,3.0,2.93,SA,1644345733,2022-02-08 18:42:13
2460954,araouane,18.9048,-3.5265,73.13,8.0,0.0,9.69,ML,1644345799,2022-02-08 18:43:19
1819729,victoria,22.2855,114.1577,62.26,84.0,100.0,5.99,HK,1644345551,2022-02-08 18:39:11
5866583,kodiak,57.79,-152.4072,29.71,69.0,0.0,11.5,US,1644345800,2022-02-08 18:43:20
2039557,khasan,42.4308,130.6434,24.71,63.0,0.0,5.23,RU,1644345800,2022-02-08 18:43:20
5416329,castle rock,39.3722,-104.8561,50.83,35.0,0.0,8.99,US,1644345801,2022-02-08 18:43:21
1246294,galle,6.0367,80.217,78.33,73.0,100.0,1.77,LK,1644345801,2022-02-08 18:43:21
1624725,tarakan,3.3,117.6333,76.1,87.0,100.0,6.73,ID,1644345802,2022-02-08 18:43:22
2393693,kandi,11.1342,2.9386,83.59,13.0,62.0,5.19,BJ,1644345802,2022-02-08 18:43:22
1714733,dingle,10.9995,122.6711,74.5,90.0,65.0,9.46,PH,1644345802,2022-02-08 18:43:22
6541341,porto empedocle,37.2934,13.5264,51.04,54.0,1.0,5.64,IT,1644345803,2022-02-08 18:43:23
6089245,norman wells,65.282,-126.8329,-27.36,62.0,75.0,0.0,CA,1644345803,2022-02-08 18:43:23
2662689,visby,57.6409,18.296,39.06,87.0,0.0,9.22,SE,1644345804,2022-02-08 18:43:24
4726521,san patricio,28.017,-97.5169,66.29,30.0,0.0,3.49,US,1644345804,2022-02-08 18:43:24
4004293,ixtapa,20.7,-105.2,87.13,30.0,0.0,7.56,MX,1644345804,2022-02-08 18:43:24
778707,mehamn,71.0357,27.8492,30.38,74.0,0.0,35.68,NO,1644345805,2022-02-08 18:43:25
3038333,ajaccio,42.0,8.9167,42.85,76.0,0.0,6.91,FR,1644345805,2022-02-08 18:43:25
556268,ostrovnoy,68.0531,39.5131,14.65,89.0,70.0,14.97,RU,1644345805,2022-02-08 18:43:25
3175096,lasa,46.6166,10.7002,44.06,60.0,2.0,6.4,IT,1644345806,2022-02-08 18:43:26
3115824,muros,42.7762,-9.0603,59.5,68.0,6.0,4.83,ES,1644345806,2022-02-08 18:43:26
4513583,hamilton,39.1834,-84.5333,42.58,58.0,0.0,9.22,US,1644345670,2022-02-08 18:41:10
546105,nikolskoye,59.7035,30.7861,30.09,96.0,100.0,4.85,RU,1644345807,2022-02-08 18:43:27
4392354,jasper,37.2001,-94.3502,58.26,34.0,0.0,13.8,US,1644345807,2022-02-08 18:43:27
2501152,constantine,36.365,6.6147,45.81,81.0,40.0,3.44,DZ,1644345807,2022-02-08 18:43:27
2126199,cherskiy,68.75,161.3,-41.57,100.0,87.0,4.41,RU,1644345808,2022-02-08 18:43:28
1215502,banda aceh,5.5577,95.3222,78.19,84.0,100.0,6.22,ID,1644345808,2022-02-08 18:43:28
3437653,nueva germania,-23.9,-56.5667,91.51,19.0,0.0,5.68,PY,1644345808,2022-02-08 18:43:28
737021,zonguldak,41.25,31.8333,37.62,98.0,100.0,2.86,TR,1644345809,2022-02-08 18:43:29
5262634,menomonie,44.8755,-91.9193,35.4,64.0,100.0,4.61,US,1644345552,2022-02-08 18:39:12
6316343,alta floresta,-9.8756,-56.0861,82.22,83.0,40.0,2.3,BR,1644345810,2022-02-08 18:43:30
777019,vardo,70.3705,31.1107,30.4,69.0,75.0,23.02,NO,1644345810,2022-02-08 18:43:30
2122614,okha,53.5739,142.9478,15.84,94.0,100.0,18.57,RU,1644345811,2022-02-08 18:43:31
4946620,palmer,42.1584,-72.3287,43.41,74.0,75.0,11.5,US,1644345811,2022-02-08 18:43:31
3443061,chuy,-33.6971,-53.4616,74.12,52.0,4.0,11.59,UY,1644345811,2022-02-08 18:43:31
2450173,taoudenni,22.6783,-3.9836,74.28,10.0,0.0,11.21,ML,1644345812,2022-02-08 18:43:32
305681,kumluca,36.3703,30.2869,58.68,85.0,93.0,12.48,TR,1644345812,2022-02-08 18:43:32
172515,abu samrah,35.3029,37.1841,50.67,78.0,87.0,1.3,SY,1644345812,2022-02-08 18:43:32
1516048,hovd,48.0056,91.6419,-11.69,78.0,13.0,2.28,MN,1644345813,2022-02-08 18:43:33
4174757,tampa,27.9475,-82.4584,55.42,94.0,100.0,6.91,US,1644345676,2022-02-08 18:41:16
2094027,kieta,-6.2167,155.6333,80.04,85.0,100.0,6.93,PG,1644345813,2022-02-08 18:43:33
1731298,aloleng,16.1307,119.7824,77.41,77.0,100.0,7.76,PH,1644345813,2022-02-08 18:43:33
3516522,soto la marina,23.7667,-98.2167,64.78,32.0,27.0,6.17,MX,1644345814,2022-02-08 18:43:34
370737,malakal,9.5334,31.6605,81.64,20.0,13.0,5.3,SS,1644345814,2022-02-08 18:43:34
5392171,san jose,37.3394,-121.895,70.09,46.0,20.0,5.01,US,1644345632,2022-02-08 18:40:32
3393536,olinda,-8.0089,-34.8553,85.73,62.0,40.0,9.22,BR,1644345815,2022-02-08 18:43:35
4031574,provideniya,64.3833,-173.3,-14.82,83.0,1.0,12.5,RU,1644345815,2022-02-08 18:43:35
478050,ust-kulom,61.6864,53.6902,5.7,97.0,90.0,6.2,RU,1644345815,2022-02-08 18:43:35
64814,bandarbeyla,9.4942,50.8122,75.54,66.0,6.0,17.16,SO,1644345816,2022-02-08 18:43:36
292968,abu dhabi,24.4667,54.3667,66.31,61.0,0.0,9.22,AE,1644345591,2022-02-08 18:39:51
1529195,shihezi,44.3,86.0333,2.82,95.0,49.0,3.78,CN,1644345816,2022-02-08 18:43:36
2412408,nioro,13.35,-15.75,90.54,8.0,3.0,6.76,GM,1644345817,2022-02-08 18:43:37
6690296,saint-joseph,-21.3667,55.6167,75.58,84.0,40.0,9.48,RE,1644345817,2022-02-08 18:43:37
3521972,panaba,21.2833,-88.2667,72.64,89.0,99.0,16.73,MX,1644345818,2022-02-08 18:43:38
